Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
1.0,10/8/24,Deck Builder Tutorial,"Once you add 20 Gaurdians any more gaurdians added cannot be removed, so if you fill your 30 alloted slotes with just  gaurdians you wont be able to remove them to add reaction and action cards to complete the tutorial","Remove button to work if you have more than 20 gaurdians, but be blocked if you have 20 gaurdians",Had 26 Gaurdians and Couldn't remove them to finsih the task,yes,yes,Tigran Manukyan
2.0,10/8/24,Tutorial/Deck Builder Tutorial,"Suggestion: a way of skipping a part of the tuturial in case someone gets stuck, they don’t have to quit the game","Stuck on tutorial, had to restart",,,No,Tigran Manukyan
3.0,10/8/24,Arena,After the opponents health drops down to a certain level their hp points are not visible.,HP points to be a different color,Could not see HP points,Yes,No,Tigran Manukyan
4.0,10/8/24,Arena,"Suggestion: After a battle is done, when clicking return a pop up shows up, saying are you sure you want to leave this room? Makes the user feel like their quiting the game, when in fact it is over, maybe have it say something else?",,,,No,Tigran Manukyan
5.0,10/8/24,Edit Profile,"Name Change does not appear Arena even after restarting the game, appears in main screan but not Arena",New name to apear while in Arena,Old name (default name) appears,Yes,No,Tigran Manukyan
6.0,10/8/24,Home Page/Settings,There is an (X) button in the settings but it does nothing,Close the settings without saving,Nothing,Yes,No,Tigran Manukyan
,10/08/2024,In Game,"I tried to attack in the tutorial to attack, but it would only allow to exit the tutorial.",To attack,It didn't attack,No,"Yes ""I couldn't continue the tutorial because I couldn't attack""",Zaid Alabwaini
,10/08/2024,In game ,"I tried to go in the tutroial again, but it didn't let me because I had to create a deck and the leading avatar was covering it so I had to press randmoly over the avatar to work.",To highlight where the deck building option is and I didn't expect the avatar to be hiding it.,It worked after I randomly pressed.,yes,No,Zaid Alabwaini
,10/08/2024,In game ,I think the avatar should move from being at the same spot especially when it comes to tutorial so the game can be more user friendly.,For avatar to be on different side of the buttons need to be pressed. ,,No,Somewhat if their impatient like me,Zaid Alabwaini
1.0,10/08/2024,Login,Login page doesnt appear,Login Page,,No,Yes,Charles 
1.0,10/08/2024,Game,sound or music seems to not work,sound effects of some sort or background music,no sound or audio,yes,no,Ramita Batchu
1.0,10/08/2024,Login,"clicking on ""realm to explore/Skale"" does not have anything pop up until clicked a few dozen times","Clicking on ""Skale"" should give me a prompt to connect my wallet",took a while to actually open the prompt,yes,no,Daniel Bautista
,10/08/2024,Game,"Tutorial tells me to switch to Main Phase 2, doing so stops the game",The phase selector should switch to Main Phase 2,"Game is frozen, random blue box in the middle of screen which i presume is supposed to highlight the switch",no,yes,Daniel Bautista
,10/08/2024,Game,Extremely High Latency <1000,>100 latency,<1000 Latency,yes,yes,Daniel Bautista
,10/08/2024,Game,Couldnt get the tutorial finished in less than 15 minutes,tutorial should be 15 minutes or less,lasted longer due to low latency,yes,yes,Daniel Bautista
1.0,10/08/2024,Login,Login page for wallet seems unhelpful.,"Either for the site to redirect me to the extentions instalition page, or to open up the extention if it was installed","A popup that shows a usless QR code for mobile divices and a bucnch of desktop apps, that is not very useful for non-crypto users.",Yes,No,Matthew Bellman
2.0,10/08/2024,Main Page,Tutorial prompt shows up again after clicking No once you are back to the main menu,For it to not show up again after doing it.,It shows up.,Yes,No,Matthew Bellman
3.0,10/08/2024,Deck Tutorial,"A button gets blocked by the games tutor (Luna) at the start of the deck tutorial, making it hard to click on.",For her to not be in the way of the button the user needs to click on.,She's in my way.,Yes,No,Matthew Bellman
4.0,10/08/2024,Deck Tutorial,"The srcren say to ""Tap anywhere to continue"" even though I'm on a workstation/laptop computer that doen't suport touch controls.","For it to say ""Click anywhere to continue"" instead.","""Tap anywhere to continue"" shows up regrardless.",Yes,No,Matthew Bellman
5.0,10/08/2024,Deck Tutorial,"When the tutorial instructs you to ""Select the deck by tappign on the deck you made."", it shows up on the deck creation screen.",For it to show up on the deck selection screen.,"It shows up on the deck creation screen. It also softlocks the game, since there is an endless loading screen.",Yes?,No,Matthew Bellman
1.0,10/08/2024,Game,"In starting a match, cards can clip through the space they are on when an animation happens",Cards don't clip through,Cards clip through,yes,no,Garrette Clarke
1.0,10/08/2024,Main Page,"After doing the intro tutorial, it prompts to do the same one again but doesn't do anything even if you say yes",No duplicate tutorial prompt,Got duplicate prompt,yes,no,Garrette Clarke
1.0,10/08/2024,UI,User case: Luna blocking 'Deck Builder' button during Deck Builder tutorial,Deck Builder' button clearly visible without any distractions/obstructions,Luna art and text box is obstructing the highlighted 'Deck Builder' button during the Deck Builder Tutorial. Users could be detered from the design or might be frustrated if they miss the highlighted button behind Luna.,Yes,No,Kenneth Dam
2.0,10/08/2024,UI,User case: Locked into card detail UI during Deck Builder tutorial,Able to exit the card detail UI during Deck Builder tutorial and freely scroll up and down the cards on the right side. Able to freely navigate and select the cards on the right side of the UI.,Locked into the card detail UI and the only way to navigate the cards was one by one using the arrows.,Yes,No,Kenneth Dam
1.0,10/08/2024,Game,"bug: in the tutorial when adding guardians to your deck, the X button does not exit to the deck list.",Pressing the X button would allow me to see the entire list of guardian characters,"Pressing the X button, does nothing and I am stuck to only seeing one character. Have to navigate between characters through the arrows.",yes,no,Kyle Deocampo
2.0,10/08/2024,Game,bug: timer isn't going down due to high latency,Timer goes down to 0 to continue the game,Timer is stuck at 56 seconds and cannot proceed with the game.,yes,yes,Kyle Deocampo
2.0,10/08/2024,Adventures,Cannot exit out of adventure,Going back to main menu,Frozen on the adventure page,Yes,Yes,Seng Dieng
3.0,10/08/2024,Tutorial,Clicking arena while in deck building tutorial with no deck built,Being able to press okay and leaving the arena,Stuck on Luna saying creating a new deck while being on arena prompt with no deck built,,Yes,Seng Dieng
1.0,10/08/2024,Game,"Attempted to re-enter the tutorial, but was required to create a deck first. The avatar obstructed the screen, making it difficult to proceed without randomly tapping around to bypass it.",For the deck-building option to be clearly visible and not obscured by the avatar.,It worked after randomly pressing around the screen.,yes,No,Amgad Fahim
2.0,10/08/2024,Game ,Suggested that the avatar should be repositioned to avoid blocking the interface during tutorials.,"The avatar should shift to a different area of the screen, allowing easy access to the buttons.",,No ,"Somewhat, especially for users who might be impatient.",Amgad Fahim
3.0,10/08/2024,Game ,"While trying to attack during the tutorial, the game only allowed me to exit instead of proceeding with the attack.",To successfully perform the attack.,The attack did not occur.,No ,"Yes, it prevented continuation of the tutorial.",Amgad Fahim
,10/08/2024,Main page,latest update and lateness new button is not working,button should work,button didn't work,yes,yes,Krunal Gadhiya 
,10/08/2024,Game background sound,I've tried to click the sound button but it's not working on my side,I should be able to change sound settings ,,yes,yes,Krunal Gadhiya 
1.0,10/08/2024,Login,bug: infinite loading screen on connecting/scanning wallet,I expected the wallet to connect after a reasonable amount of time after scanning with the metamask app on my phone (a few seconds),"It became an infinite loading screen, I probably waited 5 minutes before closing and reopening the app to try again. I also reopened the enders gate website and selected the Skale option to pop up the QR code again.",Yes,Yes,Gerard Gandionco
2.0,10/08/2024,Main Page,"user case: ""New Player?"" popup upon returning to main menu after completeing the tutorial","For the popup to only appear once, that is, only before the tutorial phase.",It popped up a second time,Yes,No,Gerard Gandionco
2.0,10/08/2024,Game,"bug: game froze after Player 1 ""Card Passive Effect Activated - Fire Damage#Select One enemy Guardian to Deal 50 Fire Damage""",After passive effect as been activated damage wouldve been afflicted on the enemy card and the game continues.,"Instead the timer and game froze and player was unable to click anything on the board, however surrender and all other side functions remain. ",yes,yes,Sergio Garcia
2.0,10/08/2024,Game,user case:  not enough ways to counter enemy ,"there is more ways to counteract situations such as when you have lack of cards on deckk, to win the game.",when faced with no cards on deck it seem like your only option is to save by continuously surrendering rounds to draw single cards at a time,yes,no,Sergio Garcia
1.0,10/08/2024,UI,Settings: Adjusting the volume you cant hear the difference you changed it to until you save. ,Hear the difference as you raise or lower,Volume stays the same until saved,yes,no,Mauricio Gonzalez
2.0,10/08/2024,UI,"When exiting the edit profile menu, screen goes black instead of a transition back to main menu",Transition to main menu with a cutscene and music still playing,Screen goes black and volume mutes,yes,no,Mauricio Gonzalez
3.0,10/08/2024,Main Page ,Latest news and latest update doesn't lead to anything ,Pop up of information,Nothing happens,yes,no,Mauricio Gonzalez
1.0,10/08/2024,UI,Bug: Phase Change UI freezes tutorial,Follow tutorial steps and have freedom to press buttons on the board in between steps.,"Tutorial prompts to change phase. If you click it once MORE before the next tutorial step, the UI will freeze.",yes,Yes,Greg Khrom
2.0,10/08/2024,Game,User Case: Can't drag guardians onto field,Ability to click and drag guardian card from hand onto available/valid positions on the board/field.,"Cannot click and drag for simplicity. Must click once to select card, click again to choose hire, and click again to select position.",yes,No,Greg Khrom
1.0,10/08/2024,game,user experiance: game UI's are very slowy due to lag hard to play through the tutorial.,expected it to be smooth and responsive,"animations are slow, takes about 3-5 sec for animation to finish, latency was consistant around 1000ms , highest ut went was 3788ms",yes,yes and no. the latency is so high that it feels like it freezes but it just takes a while.,derick maradiaga
3.0,10/08/2024,Main page UI,user case: in Main page ui is blocking other ui during the new palyer tutorial/deck builder tutorial,expected to see the navagation UI and which button to click,"the luna character is blocking the nav bar , she is standing right in front of the button we are suppose to click",yes,no,derick maradiaga
4.0,10/08/2024,UI ,user case: in the build yor deck tutorial UI size too big for prompting to filter to free play cards,"an arrow or anything that’s proper scaling and direct, displaying where I have to go and click.",a big over sized retangular box highlitighing the whole card selection scroll section not knowing where to click without reading the directions,yes,no,derick maradiaga
5.0,10/08/2024,Ui,"user case: in the build yor deck tutorial, the filtering of the cards nav bar ","expected visual  confirmations in the filtering card section, such as when hovering over the text to let me know I am on it by changing color or pop it up , more style detail","drop down with not way of knowing if Im hovering over the text or if will do anthing, just moving the check mark after clicking. didn't know if clicking would do something because it lacks visual confirmation",yes,no,derick maradiaga
6.0,10/08/2024,game ,bug: doesn't let me click the X button in the build your deck tutorial on the step when needed to add atleast 20 guradians,expected to let me click the X button so I can just scroll throught the free to play cars and look at specific ones to add,"stuck on the details screen for the cards having to click on the arrows to see the next card one at a time, wasting time for me to get to the end of the cards. not allowing me to quickly got to a specific card I think looks interesting",yes,yes,derick maradiaga
7.0,10/08/2024,Ui,user case: naming your deck ,expected to have a confirm/submit button for when I am done with naming my deck ,after typing the name of my deck ther was no UI like a button that I  could press to save the name of the deck not even the tutorial character said anything on how to save. Finally fiugred  to just press  enter.,yes,yes,derick maradiaga
8.0,10/08/2024,UI,user case: text in answer click of deck use,expected text to say yes or cancel ,"the text box says ok, felt like the game was talking to me , like it asked a question and the anwser box is it respones to me saying yes",yes,no,derick maradiaga
9.0,10/08/2024,UI,User case: the latency units,"expected to know what units my latency is in. ms,sec, microsec.",latency with a number not know what unit its in.,yes,no,derick maradiaga
10.0,10/08/2024,game,bug: in the leaderboard name lookup the X icon and text being saved after exiting the leaderboard and re-entering,"when typing in the username lookup, when the X icon is clicked should expect for the text to be deleted. Also when extiting ut of the leaderboard and re-enter expected the data typed  would be cleared/not saved",when typing any character and going to clear it with the x icon. when I clicked on it nothing happened. Doesn't clear text. Furthermore when extiting out of the leaderboard and re-enter e the data typed  would be saved,yes,no,derick maradiaga
0.0,10/08/2024,Login/UI/Game/Main Page/Adventure,"clicking on the home button doesn't take you back home, back arrow does nothing too",go back to home page,"nothing, still stuck on adventure page",yes/no,Yes/no,divy mente
1.0,10/08/2024,Login/UI/Game/Main Page/Arena/Settings,clicking on camera setting doesn't work,change camera setting,camera setting stays in default ,yes,yes,divy mente
5.0,10/08/2024,Main Page,"After selected a deck and selecting 'Edit'
and after removing a card I was unble to
new cards untill I exited and came back.","Being able to add cards to my
deck.","Was unable to add any
cards.",yes,no,Michael Metcalf
1.0,10/08/2024,DeckBuilder/UI,bug: Adding duplicate cards and removing only one bugs the deck builder window,Removing a duplicate should not affect the deck builder window,"After removing a dupilcate card, the deck builder window doesn't show up. Remove duplicate to fix bug",yes,no,Denise Pacheco
2.0,10/08/2024,DeckBuilder/UI,"bug: ""How to Obtain"" button does nothing",Clicking on button show give a description on how to obatin card,Does nothing,yes,no,Denise Pacheco
3.0,10/08/2024,DeckBuilder/UI,"bug: ""Related Cards"" button does nothing",Clicking button finds related cards,Does nothing,yes,no,Denise Pacheco
,10/08/2024,Game,Tried to draw a card,Should be able to draw card in draw phase,could not draw one,no,yes,AB
,10/08/2024,Game,Going to main phase during arena,Should go to main phase,I couldn't transition any phase,yes,yes,AB
,10/08/2024,Game,I went to arena to match with a player,I should match a player,"In my 40 games, there has only been AI Player 1. Not even 2 or more.",yes,no ,AB
1.0,10/08/2024,UI\First Gameplay Tutorial,UI interaction following tutorial prompts non responsive or no clear indication of response,When pressing activate card the tutorial plays the card,Game seemed to require multiple clicks to register desire to play card.,yes,Yes,Joshua Planovsky
2.0,10/08/2024,UI\Deckbuilding Tutorial,Visual highlight element not aligned with add button,Highlight element should be properly aligned with the button.,Button and highlight element not aligned.,yes,no,Joshua Planovsky
4.0,10/08/2024,Gameplay\UI,Attack values do not visually update based on character effects,Goblin attack values visually increase based on the number of goblins on the field,Attack values visually stay the same which may affect tactics,yes,no,Joshua Planovsky
1.0,10/08/2024,UI,Cards are difficult to read in both your hand as well as the zoom-in on the right. ,,,,,Robert Stevenson
2.0,10/08/2024,UI,"When accepting deck builder tutorial, Luna covers the button to go to the deck builder and makes it hard to see.",,,,,Robert Stevenson
3.0,10/08/2024,Main Page,Buttons to go back from Adventure and go home do not work in Adventure,To go back to home page,Stuck in adventure,Yes,Yes,Robert Stevenson
4.0,10/08/2024,UI,Name change doesn't apply,Name change to apply to UI when in arena,Name is still default one,Yes,No,Robert Stevenson
6.0,10/08/2024,UI,Starting animation that plays when starting a match texture is broken.,Texture not broken,Texture has holes and ,Yes,No,Robert Stevenson
7.0,10/08/2024,Text Chat,Copying and pasting a million words locks freezes the game. Copy/Paste Used: https://www.damienelliott.com/1-million-words-ready-to-copy-and-paste-lorem-ipsum/,To not allow large amount of text,Allows and freezes,Yes,Yes,Robert Stevenson
9.0,10/08/2024,Main Page,X button in text area of friend tab does not work,Clear text in text area,Text remains,Yes,No,Robert Stevenson
10.0,10/08/2024,Main Page,Copy & Paste million words into text area of friends tab freezes game,Character Limit,Pastes and freezes,Yes,Yes,Robert Stevenson
11.0,10/08/2024,UI,Deck size number seems blurry,,,,,Robert Stevenson
12.0,10/08/2024,Gameplay,Champion has death effect to deal damage,Game should pause until it is resolved as it benefits whoever is faster ex: They destroyed one of my champions before I could destroy that card with death effect.,They can continue their turn while death effect is still being chosen.,,,Robert Stevenson
13.0,10/08/2024,Gameplay,Card history during match does not say what card was placed.,Could be more descriptive to follow what happends in hectic moments,,,,Robert Stevenson
14.0,10/08/2024,UI,Hard to see health amount when bar reduced past the number,,,,,Robert Stevenson
1.0,10/08/2024,Login ,Searching for Wallet doesn't actually search,Search the wallet by keyword,Nothing happened,Yes ,No,Shawn Takhirov
2.0,10/08/2024,Main Page,Tutorial text overlays with menu options,To have tutorial text on the right,Text on the left overlaying,No,No,Shawn Takhirov
3.0,10/08/2024,Game,Opened tutorial but there was no tutorial,For a tutorial to start,There was no tutorial,Yes,No,Shawn Takhirov
4.0,10/08/2024,Game,Skips tutorial if you exit browser first time,For a tutorial to restart,Cannot restart initial tutorial,Yes,No,Shawn Takhirov
